dt_iso,dt,timezone,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id
2016-02-01,1454326200.0,-28800.0,32.715737999999995,-117.16108399999997,55.122083333333336,39.507916666666674,51.26541666666665,57.49250000000001,1012.6666666666666,,,44.75,21.92375,293.75,0.45,0.9,,,60.416666666666664,752.0833333333334
2016-02-02,1454412600.0,-28800.0,32.715737999999995,-117.16108399999997,50.35,42.88666666666666,46.935833333333335,54.31708333333333,1021.75,,,45.875,6.422499999999999,158.5,,,,,26.875,801.1666666666666
2016-02-03,1454499000.0,-28800.0,32.715737999999995,-117.16108399999997,52.20250000000001,44.88583333333333,48.52791666666668,57.03375,1024.625,,,47.416666666666664,6.661666666666665,160.875,,,,,11.458333333333334,800.5416666666666
2016-02-04,1454585400.0,-28800.0,32.715737999999995,-117.16108399999997,54.305416666666666,46.84875,50.23833333333334,58.63750000000001,1026.0416666666667,,,39.541666666666664,6.307500000000001,183.25,,,,,24.291666666666668,801.2083333333334
2016-02-05,1454671800.0,-28800.0,32.715737999999995,-117.16108399999997,57.434999999999995,50.05458333333332,52.71083333333332,62.84208333333333,1024.375,,,41.041666666666664,6.822916666666667,190.91666666666666,,,,,19.583333333333332,800.9583333333334
2016-02-06,1454758200.0,-28800.0,32.715737999999995,-117.16108399999997,60.42166666666668,53.48833333333332,55.905,65.60333333333334,1023.6666666666666,,,36.291666666666664,6.077916666666667,176.91666666666666,,,,,6.541666666666667,800.2916666666666
2016-02-07,1454844600.0,-28800.0,32.715737999999995,-117.16108399999997,61.459583333333335,53.589999999999996,56.592499999999994,66.1425,1020.1666666666666,,,29.791666666666668,6.800416666666666,175.625,,,,,11.291666666666666,800.5416666666666
2016-02-08,1454931000.0,-28800.0,32.715737999999995,-117.16108399999997,65.30083333333333,57.63708333333332,59.79708333333334,70.55333333333333,1019.0,,,25.833333333333332,6.082083333333332,153.16666666666666,,,,,4.166666666666667,800.1666666666666
2016-02-09,1455017400.0,-28800.0,32.715737999999995,-117.16108399999997,67.65625000000001,60.8125,62.37375,71.88583333333334,1019.375,,,24.583333333333332,4.9425,177.33333333333334,,,,,1.0,800.0
2016-02-10,1455103800.0,-28800.0,32.715737999999995,-117.16108399999997,68.0525,61.604166666666664,61.71875,72.8625,1019.3333333333334,,,28.416666666666668,4.99875,194.45833333333334,,,,,30.166666666666668,801.375
